tipo_aviso,tipo_orden,area,planta,fecha,costo_total,trabajo_real
breakdown,CO2,AR-17,PL-1,2018-12-03,634321.83,70.1
breakdown,CO2,AR-17,PL-1,2018-12-17,289505.88,17.200000000000003
breakdown,CO2,AR-17,PL-1,2018-12-31,4482497.91,16.9
breakdown,CO2,AR-17,PL-2,2018-10-15,120000.0,16.0
breakdown,CO2,AR-17,PL-2,2018-12-31,533360.09,16.0
breakdown,CO2,AR-17,PL-3,2017-02-20,458179.36,2.5
breakdown,CO2,AR-17,PL-3,2017-03-27,159000.0,2.0
breakdown,CO2,AR-17,PL-3,2017-04-03,55943.21,1.8
breakdown,CO2,AR-17,PL-3,2017-05-22,275000.0,6.0
breakdown,CO2,AR-17,PL-3,2017-07-17,900726.14,1.2
breakdown,CO2,AR-17,PL-3,2017-11-06,12514237.81,28.8
breakdown,CO2,AR-17,PL-3,2017-11-20,84730.92,6.3
breakdown,CO2,AR-17,PL-3,2018-03-12,1631333.33,7.0
breakdown,CO2,AR-17,PL-3,2018-04-02,69222.77,11.5
breakdown,CO2,AR-17,PL-3,2018-05-28,2249130.84,13.5
breakdown,CO2,AR-17,PL-3,2018-06-04,1130919.22,11.3
breakdown,CO2,AR-17,PL-3,2018-06-18,1936132.0,14.600000000000001
breakdown,CO2,AR-17,PL-3,2018-06-25,110976.0,16.1
breakdown,CO2,AR-17,PL-3,2018-08-13,596179.97,16.900000000000002
breakdown,CO2,AR-17,PL-3,2018-09-03,1000000.0,20.9
breakdown,CO2,AR-17,PL-3,2018-09-24,10505995.74,8.8
breakdown,CO2,AR-17,PL-3,2018-10-01,64700.0,14.400000000000002
breakdown,CO2,AR-17,PL-3,2018-10-29,13452.1,22.500000000000004
breakdown,CO2,AR-17,PL-3,2018-12-03,782159.66,12.7
breakdown,CO2,AR-17,PL-3,2018-12-31,780000.0,5.2
breakdown,CO2,AR-17,PL-4,2017-01-30,90305.08,6.0
breakdown,CO2,AR-17,PL-4,2017-03-13,1260000.0,2.0
breakdown,CO2,AR-17,PL-4,2017-07-17,3940519.64,6.0
breakdown,CO2,AR-17,PL-4,2017-09-18,10128057.36,1.0
breakdown,CO2,AR-17,PL-4,2018-01-22,23090.55,2.0
breakdown,CO2,AR-17,PL-4,2018-04-16,2212656.0,4.0
breakdown,CO2,AR-17,PL-4,2018-04-23,5488400.0,3.0
breakdown,CO2,AR-17,PL-4,2018-06-11,249272.0,17.5
breakdown,CO2,AR-17,PL-4,2018-07-02,1529827.28,6.0
breakdown,CO2,AR-17,PL-4,2018-10-01,341392.38,6.5
breakdown,CO2,AR-17,PL-4,2018-10-08,476909.84,1.0
breakdown,CO2,AR-17,PL-5,2017-01-23,967267.14,18.5
breakdown,CO2,AR-17,PL-5,2017-02-13,1336245.69,48.5
breakdown,CO2,AR-17,PL-5,2017-03-27,1579141.31,25.0
breakdown,CO2,AR-17,PL-5,2017-04-17,1616714.0,25.5
breakdown,CO2,AR-17,PL-5,2017-05-29,683911.53,7.0
breakdown,CO2,AR-17,PL-5,2017-06-05,536628.5,12.8
breakdown,CO2,AR-17,PL-5,2017-06-26,1657478.8,8.8
breakdown,CO2,AR-17,PL-5,2017-07-03,1278397.12,132.3
breakdown,CO2,AR-17,PL-5,2017-08-07,95692.0,9.0
breakdown,CO2,AR-17,PL-5,2017-08-21,331908.07,43.0
breakdown,CO2,AR-17,PL-5,2017-11-06,1022000.0,34.4
breakdown,CO2,AR-17,PL-5,2017-12-18,2192321.01,36.8
breakdown,CO2,AR-17,PL-5,2017-12-25,247850.14,25.500000000000007
breakdown,CO2,AR-17,PL-5,2018-01-29,529498.4,76.39999999999999
breakdown,CO2,AR-17,PL-5,2018-02-12,216951.59,72.8
breakdown,CO2,AR-17,PL-5,2018-02-26,349039.66000000003,61.89999999999999
breakdown,CO2,AR-17,PL-5,2018-03-19,76601.0,93.5
breakdown,CO2,AR-17,PL-5,2018-04-02,549996.6,52.1
breakdown,CO2,AR-17,PL-5,2018-04-16,857423.47,28.5
breakdown,CO2,AR-17,PL-5,2018-04-23,2408030.0,18.5
breakdown,CO2,AR-17,PL-5,2018-04-30,116362.0,36.1
breakdown,CO2,AR-17,PL-5,2018-05-14,889402.19,157.20000000000002
breakdown,CO2,AR-17,PL-5,2018-07-23,511000.0,12.0
breakdown,CO2,AR-17,PL-5,2018-08-06,88732.0,171.6
breakdown,CO2,AR-17,PL-5,2018-08-20,482000.0,24.5
breakdown,CO2,AR-17,PL-5,2018-09-03,248026.01,59.54999999999998
breakdown,CO2,AR-17,PL-5,2018-09-24,119268.09,14.0
breakdown,CO2,AR-17,PL-5,2018-10-08,549995.84,21.5
breakdown,CO2,AR-17,PL-5,2018-12-10,1123542.0,4.699999999999999
breakdown,CO2,AR-17,PL-5,2018-12-17,98204.55,197.41
breakdown,CO2,AR-17,PL-6,2017-01-02,440427.14,2.0
breakdown,CO2,AR-17,PL-6,2017-01-09,1809518.21,37.099999999999994
breakdown,CO2,AR-17,PL-6,2017-01-16,8481927.36,15.0
breakdown,CO2,AR-17,PL-6,2017-02-13,635146.33,17.5
breakdown,CO2,AR-17,PL-6,2017-02-20,4838504.0,10.100000000000001
breakdown,CO2,AR-17,PL-6,2017-02-27,16751564.24,34.8
breakdown,CO2,AR-17,PL-6,2017-03-06,7279516.66,7.800000000000001
breakdown,CO2,AR-17,PL-6,2017-03-13,3184264.44,11.600000000000001
breakdown,CO2,AR-17,PL-6,2017-03-27,846595.99,34.2
breakdown,CO2,AR-17,PL-6,2017-04-03,669120.0,24.3
breakdown,CO2,AR-17,PL-6,2017-04-10,10442472.41,19.7
breakdown,CO2,AR-17,PL-6,2017-05-15,798191.88,25.0
